Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,A1_GrossMin,A2_GrossMin,A3_GrossMin,B1_GrossMin,B2_GrossMin,A4_GrossMin,B3_GrossMin,B4_GrossMin,A5_GrossMin,Total Weekly Robust Units,Total Weekly Robust Gross Minutes
P1,1053.665733409271,2460.9972002278137,16087.97760182251,9658.651734548339,2784.164333523178,0.0,0.0,3984.164333523178,0.0,15231.562472753069,35575.63979921159,232564.30206716212,139623.36691098788,40247.27352882145,0.0,0.0,57594.21230433165,0.0,36029.62093705429,520836.35708326777
P2,4212.842870571856,0.0,8038.528611715569,4825.685741143712,0.0,0.0,0.0,1991.5133970537051,0.0,37017.610257292385,0.0,70633.32963809032,42402.56745336029,0.0,0.0,0.0,17499.125654383464,0.0,19068.570620484843,167552.63300312645
P3,0.0,0.0,0.0,9481.918659740422,2756.5497905844413,5140.959329870211,7140.959329870211,1978.2748952922207,0.0,0.0,0.0,0.0,102129.50937362132,29690.729036907247,55373.1447094864,76915.09482286508,21307.94955246723,0.0,26498.662005357502,285416.4274953473
P4,0.0,1260.578080707854,8284.624645662832,4989.749763775221,0.0,0.0,0.0,0.0,0.0,0.0,10719.201366563384,70447.48848352749,42429.8449300614,0.0,0.0,0.0,0.0,0.0,14534.952490145908,123596.53478015227
P5,0.0,1255.4786156847108,8243.828925477686,0.0,0.0,2681.276308492562,1840.638154246281,0.0,0.0,0.0,10675.83856874754,70100.58610100074,0.0,0.0,22799.96860963063,15651.684985087422,0.0,0.0,14021.222003901239,119228.07826446633
P6,1067.217408025331,0.0,0.0,0.0,5636.087040126656,0.0,0.0,6027.065280094992,0.0,12704.969143158702,0.0,0.0,0.0,67096.27428722208,0.0,0.0,71750.777143988,0.0,12730.369728246978,151552.02057436877
P7,0.0,4955.238258034367,0.0,0.0,11192.063763390612,0.0,1818.4127526781222,1999.0079704238265,0.0,0.0,56181.8396602536,0.0,0.0,126894.14697721782,0.0,20616.9246335388,22664.489460587603,0.0,19964.722744526927,226357.40073159785
P8,0.0,0.0,0.0,9628.656686980275,0.0,5214.328343490138,3607.164171745069,5969.2164110110025,0.0,0.0,0.0,0.0,51855.0105024448,0.0,28081.700262560265,19426.3376596248,32147.140535490093,0.0,24419.365613226484,131510.18896011997
P9,0.0,2456.9791257533516,8027.916503013405,0.0,0.0,2609.305501004468,3609.305501004468,0.0,0.0,0.0,23678.370259527765,77366.54226260085,0.0,0.0,25146.36820695916,34783.55641557594,0.0,0.0,16703.506630775693,160974.8371446637
P10,1055.3202644837916,0.0,4031.9215869027494,2421.2810579351662,0.0,0.0,0.0,1994.1503306047393,0.0,7777.303536445175,0.0,29713.707839986248,17843.90802333172,0.0,0.0,0.0,14696.119216474837,0.0,9502.673239926447,70031.03861623799
P11,2112.169895773918,0.0,0.0,0.0,11160.849478869592,10497.359166191347,3624.3397915478367,0.0,0.0,9579.001794893053,0.0,0.0,0.0,50616.097409839414,47607.07104848683,16436.91515441196,0.0,0.0,27394.718332382694,124239.08540763127
P12,4145.469734869179,0.0,0.0,0.0,10963.674337172946,7636.409204607537,7090.939469738358,0.0,0.0,28200.47438686516,0.0,0.0,0.0,74582.81862022412,51948.361936105684,48237.68346760787,0.0,0.0,29836.49274638802,202969.33841080283
P13,2098.4585474394426,0.0,0.0,0.0,5546.146368598606,5193.83418975777,1798.4585474394426,0.0,0.0,17844.0352673422,0.0,0.0,0.0,47161.10857651876,44165.2567156273,15293.014859178935,0.0,0.0,14636.897653235263,124463.4154186672
P14,0.0,4736.1045367903935,7672.209073580786,4581.472715720523,5413.420447325328,0.0,0.0,7813.420447325328,0.0,0.0,25506.231915821278,41318.58628062215,24673.46417196427,29153.908304756584,0.0,0.0,42079.07837278379,0.0,30216.627220742357,162731.26904594808
P15,0.0,0.0,0.0,4959.74548955595,0.0,5359.74548955595,0.0,2012.4602327431173,0.0,0.0,0.0,0.0,42174.70654384312,0.0,45576.0670880608,0.0,17112.757081148957,0.0,12331.951211855017,104863.53071305288
P16,0.0,1364.356044714152,18229.69671542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15468.889395852062,206685.90380302074,0.0,0.0,0.0,0.0,0.0,0.0,19594.052760140585,222154.7931988728
P17,2067.5013467363397,0.0,0.0,0.0,5468.753366840849,5070.005386945359,3535.0026934726793,1967.1883417102122,0.0,16994.767305939302,0.0,0.0,0.0,44952.90465940607,41675.21434847375,29057.561822762957,16170.198953967163,0.0,18108.45113570544,148850.64709054923
P18,4127.2061293505485,1197.7022985064557,0.0,0.0,10918.01532337637,2527.2061293505485,5290.809194025823,0.0,0.0,29246.075179638243,8487.11946220561,0.0,0.0,77366.8886293677,17908.206698912618,37491.56174904919,0.0,0.0,24060.93907460975,170499.8517191734
P19,0.0,2460.481804879327,16083.854439034612,9655.902959356408,2783.7348373994387,0.0,0.0,5975.602256099158,0.0,0.0,29291.450058087223,191474.4576075549,114951.22570662391,33139.700445231414,0.0,0.0,71138.12209641855,0.0,36959.576296768944,439994.955913916
P20,0.0,2455.6240039633894,12033.744023780335,7222.496015853557,0.0,0.0,0.0,7959.373339938982,0.0,0.0,16008.886647153615,78451.27906659516,47085.43320992965,0.0,0.0,0.0,51889.338667402655,0.0,29671.237383536263,193434.93759108108
