Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Annual Avg)
P1,26000.0,52000.0,686400.0,416000.0,140400.0,0.0,0.0,228800.0,0.0,1549600.0
P2,104000.0,0.0,343200.0,208000.0,0.0,0.0,0.0,114400.0,0.0,769600.0
P3,0.0,0.0,0.0,416000.0,140400.0,312000.0,416000.0,114400.0,0.0,1398800.0
P4,0.0,26000.0,343200.0,208000.0,0.0,0.0,0.0,0.0,0.0,577200.0
P5,0.0,26000.0,343200.0,0.0,0.0,156000.0,104000.0,0.0,0.0,629200.0
P6,26000.0,0.0,0.0,0.0,280800.0,0.0,0.0,343200.0,0.0,650000.0
P7,0.0,104000.0,0.0,0.0,561600.0,0.0,104000.0,114400.0,0.0,884000.0
P8,0.0,0.0,0.0,416000.0,0.0,312000.0,208000.0,343200.0,0.0,1279200.0
P9,0.0,52000.0,343200.0,0.0,0.0,156000.0,208000.0,0.0,0.0,759200.0
P10,26000.0,0.0,171600.0,104000.0,0.0,0.0,0.0,114400.0,0.0,416000.0
P11,52000.0,0.0,0.0,0.0,561600.0,624000.0,208000.0,0.0,0.0,1445600.0
P12,104000.0,0.0,0.0,0.0,561600.0,468000.0,416000.0,0.0,0.0,1549600.0
P13,52000.0,0.0,0.0,0.0,280800.0,312000.0,104000.0,0.0,0.0,748800.0
P14,0.0,104000.0,343200.0,208000.0,280800.0,0.0,0.0,457600.0,0.0,1393600.0
P15,0.0,0.0,0.0,208000.0,0.0,312000.0,0.0,114400.0,0.0,634400.0
P16,0.0,26000.0,686400.0,0.0,0.0,0.0,0.0,0.0,0.0,712400.0
P17,52000.0,0.0,0.0,0.0,280800.0,312000.0,208000.0,114400.0,0.0,967200.0
P18,104000.0,26000.0,0.0,0.0,561600.0,156000.0,312000.0,0.0,0.0,1159600.0
P19,0.0,52000.0,686400.0,416000.0,140400.0,0.0,0.0,343200.0,0.0,1638000.0
P20,0.0,52000.0,514800.0,312000.0,0.0,0.0,0.0,457600.0,0.0,1336400.0
