Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Weekly Avg)
P1,500.0,1000.0,13200.0,8000.0,2700.0,0.0,0.0,4400.0,0.0,29800.0
P2,2000.0,0.0,6600.0,4000.0,0.0,0.0,0.0,2200.0,0.0,14800.0
P3,0.0,0.0,0.0,8000.0,2700.0,6000.0,8000.0,2200.0,0.0,26900.0
P4,0.0,500.0,6600.0,4000.0,0.0,0.0,0.0,0.0,0.0,11100.0
P5,0.0,500.0,6600.0,0.0,0.0,3000.0,2000.0,0.0,0.0,12100.0
P6,500.0,0.0,0.0,0.0,5400.0,0.0,0.0,6600.0,0.0,12500.0
P7,0.0,2000.0,0.0,0.0,10800.0,0.0,2000.0,2200.0,0.0,17000.0
P8,0.0,0.0,0.0,8000.0,0.0,6000.0,4000.0,6600.0,0.0,24600.0
P9,0.0,1000.0,6600.0,0.0,0.0,3000.0,4000.0,0.0,0.0,14600.0
P10,500.0,0.0,3300.0,2000.0,0.0,0.0,0.0,2200.0,0.0,8000.0
P11,1000.0,0.0,0.0,0.0,10800.0,12000.0,4000.0,0.0,0.0,27800.0
P12,2000.0,0.0,0.0,0.0,10800.0,9000.0,8000.0,0.0,0.0,29800.0
P13,1000.0,0.0,0.0,0.0,5400.0,6000.0,2000.0,0.0,0.0,14400.0
P14,0.0,2000.0,6600.0,4000.0,5400.0,0.0,0.0,8800.0,0.0,26800.0
P15,0.0,0.0,0.0,4000.0,0.0,6000.0,0.0,2200.0,0.0,12200.0
P16,0.0,500.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,13700.0
P17,1000.0,0.0,0.0,0.0,5400.0,6000.0,4000.0,2200.0,0.0,18600.0
P18,2000.0,500.0,0.0,0.0,10800.0,3000.0,6000.0,0.0,0.0,22300.0
P19,0.0,1000.0,13200.0,8000.0,2700.0,0.0,0.0,6600.0,0.0,31500.0
P20,0.0,1000.0,9900.0,6000.0,0.0,0.0,0.0,8800.0,0.0,25700.0
